Datum,PS_COVID_Faelle,UG_PI_COVID_Faelle,OG_PI_COVID_Faelle,PS_COVID_Faelle_ma4,UG_PI_COVID_Faelle_ma4,OG_PI_COVID_Faelle_ma4,PS_7_Tage_R_Wert,UG_PI_7_Tage_R_Wert,OG_PI_7_Tage_R_Wert
2020-03-02,303,292,318,225,213,238,,,
2020-03-03,321,304,336,261,248,275,,,
2020-03-04,449,430,469,326,311,342,,,
2020-03-05,503,483,524,394,377,412,,,
2020-03-06,757,735,782,507,488,528,2.34,2.28,2.39
2020-03-07,984,957,1008,673,651,696,2.56,2.5,2.61
2020-03-08,1336,1309,1373,895,871,922,2.93,2.88,2.98
2020-03-09,2020,1984,2052,1274,1246,1304,3.13,3.09,3.18
2020-03-10,2574,2532,2620,1728,1695,1763,3.22,3.18,3.26
2020-03-11,3238,3190,3283,2292,2253,2332,3.12,3.08,3.16
2020-03-12,3603,3534,3651,2859,2810,2901,2.84,2.82,2.87
2020-03-13,4353,4291,4408,3442,3386,3490,2.5,2.48,2.52
2020-03-14,4434,4373,4480,3907,3847,3955,2.18,2.17,2.2
2020-03-15,4677,4615,4734,4267,4203,4318,1.99,1.98,2
2020-03-16,6019,5956,6079,4871,4809,4925,1.74,1.73,1.75
2020-03-17,5236,5177,5296,5091,5030,5147,1.56,1.55,1.57
2020-03-18,5286,5230,5337,5304,5244,5362,1.39,1.39,1.4
2020-03-19,4726,4668,4780,5317,5258,5373,1.24,1.23,1.24
2020-03-20,5328,5262,5379,5144,5084,5198,1.13,1.13,1.14
2020-03-21,4443,4381,4514,4946,4885,5002,1.04,1.03,1.04
2020-03-22,3817,3759,3865,4578,4517,4634,.98,.97,.98
2020-03-23,5152,5096,5225,4685,4624,4746,.92,.92,.92
2020-03-24,4078,4024,4132,4373,4315,4434,.89,.89,.9
2020-03-25,4418,4353,4471,4366,4308,4423,.9,.89,.9
2020-03-26,3996,3927,4063,4411,4350,4473,.88,.88,.89
2020-03-27,4123,4052,4184,4154,4089,4212,.9,.89,.9
2020-03-28,3890,3834,3953,4107,4041,4168,.9,.9,.91
2020-03-29,3261,3202,3320,3818,3753,3880,.9,.9,.91
2020-03-30,4392,4328,4463,3917,3854,3980,.92,.92,.93
2020-03-31,3571,3517,3640,3778,3720,3844,.93,.92,.93
2020-04-01,4045,3983,4107,3817,3757,3883,.93,.93,.94
2020-04-02,3724,3674,3794,3933,3875,4001,.94,.94,.95
2020-04-03,3726,3650,3790,3766,3706,3833,.93,.92,.94
2020-04-04,3008,2952,3060,3626,3565,3688,.92,.92,.93
2020-04-05,2698,2644,2740,3289,3230,3346,.89,.89,.9
2020-04-06,3343,3294,3389,3194,3135,3245,.89,.88,.89
2020-04-07,3055,2999,3111,3026,2972,3075,.87,.86,.88
2020-04-08,2873,2814,2930,2992,2937,3042,.85,.84,.86
2020-04-09,2701,2661,2760,2993,2942,3047,.83,.82,.84
